query_id,query_text,query_category,bge_precision_at_1,bge_precision_at_5,bge_precision_at_10,bge_mrr,bge_average_precision,bge_search_time,bge_num_results,tfidf_precision_at_1,tfidf_precision_at_5,tfidf_precision_at_10,tfidf_mrr,tfidf_average_precision,tfidf_search_time,tfidf_num_results
legal_20,ley presupuestos generales estado,legal_general,1.0,1.0,0.7,0.0,0.4564688012366031,0.4370276927947998,20,1.0,0.6,0.6,0.0,0.32024343711843706,4.810118198394775,20
legal_21,decreto organización estructura ministerial,legal_general,0.0,0.0,0.0,0.0,0.0,0.38423776626586914,20,0.0,0.0,0.1,0.0,0.00625,5.2269580364227295,20
legal_22,ordenación territorial urbana regional,legal_general,0.0,0.0,0.0,0.0,0.0,0.5159058570861816,20,0.0,0.0,0.0,0.0,0.0,5.54745888710022,20
legal_23,régimen jurídico administración local,legal_general,1.0,0.4,0.3,0.0,0.17134502923976608,0.3889927864074707,20,0.0,0.8,0.8,0.0,0.6162880950748599,4.879945516586304,20
legal_24,procedimiento recurso alzada administrativa,legal_general,0.0,0.0,0.2,0.0,0.2519358831742732,0.4438481330871582,20,0.0,0.0,0.0,0.0,0.0,4.853292226791382,20
legal_25,normativa europea directiva marco,legal_general,1.0,0.6,0.4,0.0,0.21369949494949497,0.36551499366760254,20,0.0,0.0,0.0,0.0,0.0,5.041013717651367,20
ministry_01,ministerio hacienda función pública,ministry_department,0.0,0.0,0.0,0.0,0.0029411764705882353,0.39766669273376465,20,1.0,0.6,0.6,0.0,0.2837698412698413,6.44202733039856,20
ministry_02,ministerio interior seguridad ciudadana,ministry_department,0.0,0.0,0.0,0.0,0.0,0.7054662704467773,20,1.0,0.2,0.1,0.0,0.05,6.235607624053955,20
ministry_03,ministerio defensa fuerzas armadas,ministry_department,0.0,0.0,0.0,0.0,0.0,0.41292238235473633,20,1.0,0.6,0.4,0.0,0.25798368298368296,4.686388969421387,20
ministry_04,ministerio justicia registros notariado,ministry_department,0.0,0.0,0.0,0.0,0.0,0.38711118698120117,20,0.0,0.0,0.0,0.0,0.0,4.7246785163879395,20
ministry_05,ministerio educación cultura deporte,ministry_department,0.0,0.0,0.0,0.0,0.0,0.3732423782348633,20,0.0,0.0,0.0,0.0,0.0,4.742575645446777,20
ministry_06,ministerio sanidad consumo bienestar,ministry_department,0.0,0.0,0.0,0.0,0.0,0.36803317070007324,20,0.0,0.0,0.0,0.0,0.0,4.595227956771851,20
ministry_07,ministerio trabajo economía social,ministry_department,0.0,0.2,0.1,0.0,0.016666666666666666,0.3771970272064209,20,1.0,1.0,0.8,0.0,0.6448239260739261,4.781169176101685,20
ministry_08,ministerio industria comercio turismo,ministry_department,0.0,0.0,0.0,0.0,0.0,0.3510401248931885,20,0.0,0.0,0.1,0.0,0.03289473684210527,8.923421144485474,20
ministry_09,ministerio agricultura pesca alimentación,ministry_department,0.0,0.0,0.0,0.0,0.0,0.5915720462799072,20,0.0,0.0,0.0,0.0,0.023593073593073593,5.058304071426392,20
ministry_10,ministerio transición ecológica sostenible,ministry_department,0.0,0.0,0.0,0.0,0.0,0.33646345138549805,20,0.0,0.0,0.0,0.0,0.0025,4.9716668128967285,20
ministry_11,ministerio ciencia innovación universidades,ministry_department,0.0,0.0,0.0,0.0,0.0,0.4173147678375244,20,0.0,0.6,0.3,0.0,0.10982456140350878,4.633055925369263,20
ministry_12,ministerio asuntos exteriores cooperación,ministry_department,0.0,0.0,0.0,0.0,0.0,1.675088882446289,20,1.0,0.2,0.1,0.0,0.05,5.961488962173462,20
ministry_13,ministerio presidencia memoria democrática,ministry_department,0.0,0.0,0.0,0.0,0.0,0.2723722457885742,20,1.0,0.6,0.6,0.0,0.3997887492624336,4.505204439163208,20
ministry_14,banco españa política monetaria,ministry_department,0.0,0.0,0.0,0.0,0.002631578947368421,0.39294886589050293,20,1.0,1.0,1.0,0.0,0.7820755012531329,4.826223134994507,20
ministry_15,comisión nacional mercados competencia,ministry_department,1.0,0.8,0.7,0.0,0.4281140350877193,0.41054844856262207,20,1.0,1.0,1.0,0.0,1.0,4.625020503997803,20
ministry_16,agencia española protección datos,ministry_department,1.0,0.2,0.1,0.0,0.05,0.28293347358703613,20,1.0,1.0,1.0,0.0,0.8189018620268621,4.4255170822143555,20
ministry_17,instituto nacional estadística censo,ministry_department,0.0,0.4,0.2,0.0,0.05500000000000001,0.3739330768585205,20,0.0,0.0,0.0,0.0,0.004545454545454545,4.185925006866455,20
ministry_18,servicio público empleo estatal,ministry_department,0.0,0.0,0.0,0.0,0.0,0.42879414558410645,20,1.0,1.0,1.0,0.0,0.8505471021066997,4.174701690673828,20
ministry_19,instituto social marina pesquera,ministry_department,0.0,0.0,0.0,0.0,0.0,0.2818138599395752,20,0.0,0.0,0.0,0.0,0.0,4.516420602798462,20
ministry_20,organismo autónomo trabajo penitenciario,ministry_department,0.0,0.0,0.0,0.0,0.0,0.3205127716064453,20,0.0,0.0,0.0,0.0,0.0,4.239746332168579,20
ministry_21,consejo seguridad nuclear radioprotección,ministry_department,0.0,0.0,0.0,0.0,0.0,0.367034912109375,20,1.0,0.6,0.5,0.0,0.30088383838383836,4.597965240478516,20
ministry_22,agencia estatal administración tributaria,ministry_department,1.0,0.2,0.1,0.0,0.05625,0.3617079257965088,20,1.0,1.0,0.9,0.0,0.9115614298412285,4.243807554244995,20
ministry_23,guardia civil seguridad vial,ministry_department,0.0,0.0,0.0,0.0,0.0,0.2950248718261719,20,0.0,0.0,0.0,0.0,0.0,4.43537712097168,20
ministry_24,instituto nacional gestión sanitaria,ministry_department,1.0,0.2,0.3,0.0,0.11220238095238096,0.4340691566467285,20,1.0,1.0,1.0,0.0,0.921106884386683,4.953415632247925,20
ministry_25,consejo estado dictámenes informes,ministry_department,0.0,0.0,0.1,0.0,0.005555555555555555,0.4849131107330322,20,0.0,0.0,0.0,0.0,0.0,4.302291631698608,20
temporal_01,enero 2023 disposiciones fiscales,temporal_specific,0.0,0.0,0.0,0.0,0.008571428571428572,0.31517601013183594,20,0.0,0.0,0.0,0.0,0.0,4.460397005081177,20
temporal_02,diciembre 2023 presupuestos generales,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.2570304870605469,20,0.0,0.2,0.1,0.0,0.03289473684210527,4.632129669189453,20
temporal_03,segundo trimestre 2023 empleo,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3825392723083496,20,0.0,0.0,0.0,0.0,0.0,4.5879034996032715,20
temporal_04,normativa 2023 protección consumidores,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.31104207038879395,20,0.0,0.0,0.0,0.0,0.0,4.627346992492676,20
temporal_05,medidas covid enero 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3883349895477295,20,0.0,0.0,0.0,0.0,0.0,4.391515016555786,20
temporal_06,reforma laboral marzo 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.34575438499450684,20,0.0,0.0,0.0,0.0,0.0,4.338199138641357,20
temporal_07,subvenciones europeas 2023 agricultura,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3405776023864746,20,0.0,0.0,0.0,0.0,0.0,4.284096002578735,20
temporal_08,plan recovery abril 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.29825425148010254,20,0.0,0.0,0.0,0.0,0.0,4.569120168685913,20
temporal_09,ley vivienda mayo 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3846089839935303,20,0.0,0.0,0.0,0.0,0.0,4.540594816207886,20
temporal_10,medidas ahorro energético verano 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3666558265686035,20,0.0,0.0,0.0,0.0,0.0,4.661793947219849,20
temporal_11,becas educación curso 2023-2024,temporal_specific,0.0,0.0,0.1,0.0,0.00625,0.3209536075592041,20,0.0,0.2,0.4,0.0,0.11281746031746032,4.30070948600769,20
temporal_12,modificación iva julio 2023,temporal_specific,1.0,0.2,0.1,0.0,0.05,0.3531038761138916,20,0.0,0.0,0.0,0.0,0.0,5.01642370223999,20
temporal_13,ayudas transporte público 2023,temporal_specific,0.0,0.2,0.1,0.0,0.023809523809523808,0.49120664596557617,20,0.0,0.0,0.0,0.0,0.020192307692307693,5.756904602050781,20
temporal_14,fondos next generation 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.40479087829589844,20,0.0,0.0,0.1,0.0,0.008333333333333333,4.991163730621338,20
temporal_15,plan pensiones reforma 2023,temporal_specific,0.0,0.2,0.1,0.0,0.016666666666666666,0.38486170768737793,20,1.0,0.4,0.2,0.0,0.1,4.947600603103638,20
temporal_16,medidas inflación agosto 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.5077321529388428,20,0.0,0.0,0.0,0.0,0.0,4.631840229034424,20
temporal_17,convocatoria oposiciones 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3740875720977783,20,0.0,0.2,0.1,0.0,0.016666666666666666,4.918003082275391,20
temporal_18,régimen fiscal comunidades autónomas 2023,temporal_specific,0.0,0.0,0.0,0.0,0.003125,0.3290281295776367,20,0.0,0.0,0.0,0.0,0.0,4.198702812194824,20
temporal_19,directiva europea septiembre 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3301708698272705,20,0.0,0.0,0.0,0.0,0.0,4.3478522300720215,20
temporal_20,plan nacional recuperación 2023,temporal_specific,0.0,0.2,0.4,0.0,0.14069444444444443,0.32197046279907227,20,0.0,0.2,0.1,0.0,0.01,4.064922094345093,20
temporal_21,medidas sequía octubre 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.4107522964477539,20,0.0,0.0,0.0,0.0,0.0,4.855502605438232,20
temporal_22,ley startup noviembre 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3448154926300049,20,0.0,0.0,0.0,0.0,0.0,5.6509575843811035,20
temporal_23,reforma código penal 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3475687503814697,20,0.0,0.0,0.0,0.0,0.0,4.545228719711304,20
temporal_24,plan digitalización diciembre 2023,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.3321959972381592,20,0.0,0.0,0.0,0.0,0.003333333333333333,4.177411794662476,20
temporal_25,presupuestos 2024 aprobación,temporal_specific,0.0,0.0,0.0,0.0,0.0,0.30431365966796875,20,0.0,0.0,0.0,0.0,0.0,4.141051292419434,20
technical_01,contratación pública procedimiento abierto,technical_specific,0.0,0.0,0.0,0.0,0.0,0.39592909812927246,20,0.0,0.0,0.0,0.0,0.0025,4.0829668045043945,20
technical_02,subvenciones europeas fondo desarrollo regional,technical_specific,0.0,0.0,0.0,0.0,0.0,0.29680919647216797,20,0.0,0.0,0.0,0.0,0.0,4.198845148086548,20
technical_03,licencias ambientales evaluación impacto,technical_specific,0.0,0.2,0.1,0.0,0.01,0.40046072006225586,20,0.0,0.0,0.0,0.0,0.0,4.082364797592163,20
technical_04,registro mercantil sociedades anónimas,technical_specific,0.0,0.0,0.0,0.0,0.0,0.3123142719268799,20,0.0,0.0,0.0,0.0,0.0,4.634361505508423,20
technical_05,procedimiento sancionador infracciones graves,technical_specific,0.0,0.2,0.4,0.0,0.12416666666666668,0.3796656131744385,20,1.0,0.8,0.6,0.0,0.2620238095238095,4.247962713241577,20
technical_06,recurso contencioso administrativo plazos,technical_specific,0.0,0.2,0.1,0.0,0.02909090909090909,0.37902069091796875,20,0.0,0.0,0.0,0.0,0.0,4.364744186401367,20
technical_07,expropiación forzosa utilidad pública,technical_specific,0.0,0.8,0.9,0.0,0.6122799422799423,0.4445936679840088,20,1.0,1.0,0.9,0.0,0.9115614298412285,5.377640247344971,20
technical_08,régimen especial trabajadores autónomos,technical_specific,0.0,0.4,0.4,0.0,0.17332633053221286,0.5309281349182129,20,1.0,0.6,0.3,0.0,0.13,8.021955013275146,20
technical_09,inspección trabajo seguridad social,technical_specific,1.0,0.6,0.6,0.0,0.25861111111111107,0.7426390647888184,20,1.0,1.0,1.0,0.0,0.9475,7.561190605163574,20
technical_10,procedimiento concursal empresas insolvencia,technical_specific,0.0,0.0,0.0,0.0,0.0,0.8242933750152588,20,0.0,0.0,0.0,0.0,0.0,5.31450891494751,20
technical_11,régimen fiscal cooperativas sociedades laborales,technical_specific,0.0,0.0,0.0,0.0,0.0,0.3912794589996338,20,0.0,0.0,0.0,0.0,0.0,4.526369571685791,20
technical_12,autorizaciones sanitarias productos farmacéuticos,technical_specific,0.0,0.0,0.0,0.0,0.0,0.43074893951416016,20,0.0,0.0,0.0,0.0,0.0,4.348688364028931,20
technical_13,evaluación conformidad marcado ce,technical_specific,1.0,0.2,0.2,0.0,0.0625,0.3461940288543701,20,0.0,0.0,0.0,0.0,0.0,4.3937156200408936,20
technical_14,protección datos tratamiento información,technical_specific,0.0,0.0,0.3,0.0,0.10428300865800866,0.45519232749938965,20,1.0,1.0,0.9,0.0,0.8478239918835893,4.894334554672241,20
technical_15,propiedad intelectual derechos autor,technical_specific,0.0,0.0,0.0,0.0,0.0,0.39753246307373047,20,1.0,0.2,0.2,0.0,0.09970588235294117,4.471258878707886,20
technical_16,régimen jurídico extranjería inmigración,technical_specific,0.0,0.0,0.0,0.0,0.0029411764705882353,0.29266786575317383,20,0.0,0.0,0.0,0.0,0.0,4.487154722213745,20
technical_17,procedimiento electoral censo votantes,technical_specific,0.0,0.4,0.2,0.0,0.06363636363636363,0.38547754287719727,20,0.0,0.0,0.0,0.0,0.0,4.522220849990845,20
technical_18,régimen disciplinario funcionarios públicos,technical_specific,0.0,0.0,0.0,0.0,0.0,0.36650681495666504,20,0.0,0.0,0.0,0.0,0.0,4.562110185623169,20
technical_19,contratación laboral temporal indefinida,technical_specific,0.0,0.0,0.2,0.0,0.028075396825396826,0.3835477828979492,20,0.0,0.0,0.0,0.0,0.0,4.562488317489624,20
technical_20,procedimiento administrativo silencio positivo,technical_specific,1.0,0.6,0.4,0.0,0.2629233511586453,0.36201024055480957,20,1.0,0.8,0.9,0.0,0.39521825396825394,4.556377410888672,20
technical_21,régimen fiscal entidades sin ánimo lucro,technical_specific,0.0,0.0,0.1,0.0,0.007142857142857143,0.39050841331481934,20,0.0,0.0,0.0,0.0,0.0,6.77661919593811,20
technical_22,autorizaciones obras públicas dominio,technical_specific,0.0,0.0,0.0,0.0,0.0,0.6039023399353027,20,0.0,0.0,0.0,0.0,0.0,4.978949308395386,20
technical_23,procedimiento responsabilidad patrimonial administración,technical_specific,0.0,0.0,0.0,0.0,0.0,0.6724395751953125,20,0.0,0.6,0.4,0.0,0.12916666666666665,5.9963765144348145,20
technical_24,régimen jurídico sociedades profesionales,technical_specific,0.0,0.2,0.1,0.0,0.0125,0.3884615898132324,20,0.0,0.0,0.0,0.0,0.0,4.481243133544922,20
technical_25,evaluación ambiental estratégica proyectos,technical_specific,1.0,0.2,0.1,0.0,0.05,0.39365530014038086,20,0.0,0.6,0.7,0.0,0.22988095238095235,5.917836427688599,20
